CODICE ARTICOLO   ;DESCRIZIONE ARTICOLO   ;PREZZO          
     0517659   ;INFASIL DEO SPRAY SENSAZ.NAT.OLIO ML.150                                ;2,95                   
     0469861   ;INFASIL DEO SPRAY TRIPL.PROTEZIO.ML.150                                 ;2,95                   
     0469863   ;INFASIL DEO SPRAY UOMO FRESH ML.150                                     ;2,95                   
     0466333   ;INFASIL DEO STICK EXTRA DELICATO ML.50                                  ;2,49                   
     0517658   ;INFASIL DEO STICK SENSAZ.NATUR.OLIO ML40                                ;2,67                   
     0539867   ;VIDAL BAGNODOCCIA ACQUA MICELLARE ML600                                 ;1,98                   
     0538288   ;VIDAL BAGNODOCCIA MUSCHIO BIANCO ML.600                                 ;1,98                   
     0539010   ;VIDAL BAGNODOCCIA OLIO DI ARGAN ML.600                                  ;1,98                   
     0539007   ;VIDAL BAGNODOCCIA TALCO LIQUIDO ML.600                                  ;1,98                   
     0462764   ;DOVE SAPONE LIQ.RICARIC.IDRATANTE ML.500                                ;1,89                   
     0529260   ;DOVE SAPONE LIQUIDO ORIGINAL ML 250                                     ;1,89                   
     0534987   ;LISTERINE COLLUTORIO TOTAL CARE ML. 600                                 ;4,36                   
     0542150   ;SUNSILK SHAMP.2IN1 LISCIO PERFETTO ML250                                ;2,84                   
     0542149   ;SUNSILK SHAMP.MORBIDI/LUMINOSI ML.250                                   ;2,84                   
     0568629   ;SUNSILK SHAMP.ONDE MERAVIGLIOSE ML.250                                  ;2,84                   
     0542148   ;SUNSILK SHAMP.RICCI DA SOGNO ML.250                                     ;2,84                   
     0542151   ;SUNSILK SHAMP.SCINTILLE DI LUCE ML.250                                  ;2,84                   
     0542160   ;SUNSILK BALS.MORBIDI&LUMINOSI ML.200                                    ;2,84                   
     0558504   ;SUNSILK BALS.OLIO ARGANE MANDORLE ML.200                                ;2,84                   
     0542159   ;SUNSILK BALS.RICCI DA SOGNO ML.200                                      ;2,84                   
     0542161   ;SUNSILK BALS.SCINTILLE DI LUCE ML.200                                   ;2,84                   
     0540533   ;SUNSILK BALSAMO LISCIO PERFETTO ML.200                                  ;2,84                   
     0568630   ;SUNSILK BALSAMO ONDE MERAVIGLIOSE ML.200                                ;2,84                   
     0389278   ;NIVEA BODY FLUIDA IDRATANTE ML250                                       ;4,25                   
     0389277   ;NIVEA BODY FLUIDA NUTRIENTE ML250                                       ;4,25                   
     0390320   ;NIVEA BODY FLUIDA VELLUTANTE ML250                                      ;4,25                   
     0471736   ;NIVEA BODY IDRATANTE ALOE VERA ML.250                                   ;4,25                   
     0085793   ;CAREFREE SALVASLIP X44                                                  ;2,39                   
