CODICE ARTICOLO   ;DESCRIZIONE ARTICOLO   ;PREZZO          
     0416903   ;RANA RUSTICI VITELLO G250                                               ;2.49
     0295902   ;PARMAREGGIO DOP SNACK G20X5                                             ;2,61                   
     0516675   ;MAXIBON X 4 GR. 384                                                     ;3,03                   
     0482531   ;SADIA SPEEDY POLLO THE ORIGINAL GR.300                                  ;3,15                   
     0358887   ;ARBI MISTO SCOGLIO G300                                                 ;3,77                   
     0442521   ;FINDUS 4 FIORI DI MERLUZZO GR.300                                       ;7,15                   
     0573778   ;FINDUS TENT GUSTO VONG/CALAM/MAZZAN G400                                ;4,58                   
     0593686   ;FINDUS TENT. GUSTO CACCIUCCO G450                                       ;5,67                   
     0573779   ;FINDUS TENT. GUSTO COZZ/CALAM/POMOD G400                                ;4,58                   
     0573780   ;FINDUS TENT. GUSTO VONGOLE C/PREZZ G400                                 ;4,58                   
     0495510   ;FROSTA BISTECCA MERLUZ.GRIGL.RUCOL.G250                                 ;4,66                   
     0482525   ;FROSTA MERLUZZO ALASKA CROCCANTE GR.240                                 ;2,96                   
     0382933   ;MARFRIO FRITTO MISTO T500                                               ;4,49                   
     0482528   ;PANAPESCA MAZZANCOLLE TROP.SGUSC. GR.225                                ;5,58                   
     0573784   ;TYSON SPEEDY POLLO GOLDEN FILETS SC G220                                ;3,21                   
     0287332   ;BELLANAPOLI BUITONI MINIPIZZE G300                                      ;2,18                   
     0488111   ;BUITONI BELLA NAP. MARGHERITA X 3 G900                                  ;5,39                   
     0586652   ;CAMEO PIZZA REG. G GUSTO MARGHERITA G350                                ;2,83                   
     0586651   ;CAMEO PIZZA REG. GRAN GUSTO SALAME G385                                 ;2,83                   
     0511110   ;CAMEO PIZZA REGINA MARGHERITA ALTA G375                                 ;2,63                   
     0573874   ;ITALPIZZA NUMERO 1 BUFALA GR 435                                        ;4,28                   
     0552606   ;BONDUELLE COCCOLE BROCCOLI/CAROTE G300                                  ;3,00                   
     0552605   ;BONDUELLE COCCOLE SPIN/FAGIOL/BROC.G300                                 ;3,00                   
     0467286   ;FINDUS 4SIP PATATE SAPORITE GR.450                                      ;4,70                   
     0475067   ;MC CAIN PATATE FORNO EXPRESS GR.500                                     ;2,21                   
     0186193   ;OROGEL LEGGER.CONT.VERDURE 450                                          ;2,24                   
     0366815   ;OROGEL SPINACI CUB.FOGLIA+ G900                                         ;2,74                   
     0108077   ;VALSOIA COTOLETTA VEG.SU.2X100                                          ;2,80                   
